sentiment	numberagreed	tweetid	tweet
neutral	6	219584	Apple processa a Samsung no Japão - Notícias - TechTudo ~http  via @user
positive	3	399249	É O JACKI CHAN !!! RT @user ESSE É DOS MEUS!!! HAHAHAHAHAHAH ~http  @user; assiste; recomendo!
negative	3	387155	Eras o samsung galaxy tab e muito lerdo para twitar
negative	3	205458	"Dizem que a coisa mais triste que o homem enfrentará;é o que poderia ter sido...
negative	3	1279259	testando novos aparelhos.. nokia 5233 e Samsung Corby(merda)!
negative	3	540265	batendo cabeça com samsung corby
positive	3	79100	loogoo mais #MOICANO; voo ficaa gatãao .  (H)**    =D
positive	3	534631	#bigfollow VIP e EXPRESSO; muito barato mesmo: ~http 
negative	3	959290	FALHA? No IE?? DUVIDO!!! RT: @user Microsoft confirma vulnerabilidade no navegador Internet Explorer: ~http 
negative	3	314396	"Se esta vadia falar alguma merda para mim Nossa eu rodo a baiana aqui hein"
negative	3	2054404	RAIVA vou ter que ir com meu nike dinovo pra escola ; minha mãe lavou meu all star
positive	3	1726312	QUE LEGAL!  Brasil ganha prêmio nas olimpíadas de tecnologia da Microsoft em ~http 
negative	3	590731	Duvida cruel! Shift+Del no Infinite Stratos ou devo gastar um DVD-R com esta porcaria?
neutral	3	1299934	CÂMERA DIGITAL SONY DSC-WX7 16MP; VÍDEOS COM QUALIDADE HD 1080i; FOTOS EM 3D E MUITO MAIS. ~http 
positive	3	1182964	Esse final tem outra etapa do circuito adidas ... vamos que vamos ...
positive	3	325476	Paulinhoo'Loopes o famoso Brankelo da Nike #TeAmo mto meo brankelo ;$ irmãozinho do conceito + gatoo &lt;3
positive	3	431063	Parabéns!! RT: @user Alphaville SJC é nosso! Vamos fazer a campanha de incentivo. A campanha de mercado ficou com a Eugênio.
neutral	3	1155376	A @user e @user vão sortear uma camisa Nike oficial da seleção brasileira pelo Twitter.Saiba como no link: ~http 
neutral	3	912837	#Cristiano Ronaldo's NIKE Speed test: ~http 
negative	3	891097	É gente; agora a Sony vai acabar de ser estuprada mesmo.
neutral	3	142100	Participem da Comunidade da musica do @user ( Não é Normal) &gt;~http
negative	3	678739	QUE ISSO GALERAAAA; TIMINHO DE MERDA QUE NUM ACEITA PERDER; QUE ISSO o0 cade a policia pra apartar isso velho. #tomanocú
positive	3	48427	#feriadoébompara ANDAR NA PRAIA; JÁ FUIIIIIIIIIIII
negative	3	590470	"Ele é casado e eu sou a outra; Na vida dele; Que vive qual uma brasa; Por lhe faltar Tudo em casa."#mariabethânia#
neutral	3	1229540	Estou neste exato momento aguardando que o atendente da sony (Thiago); me passe as primeiras informações quanto ao prazo de conserto.
negative	3	615157	eu ja estourava minhas contas normalmente! Eu nao quero pensar em como vai vir! medo!
positive	3	1112309	"Eu quero ganhar o mouse sem fio da Microsoft que o @user está sorteando - ~http  #PromoSD"
positive	3	270471	Acabei de lembrar da festa linda do @user a base de valesca.  Final dos tempos . kkkk
positive	3	1773341	AGORA EU ACHO QUE O RONALDINHO VAI JOGAR A BOLA É DA NIKE !!!
negative	3	1231080	O bing é um "buscador"?? A única coisa que ele acha é o Google!!!
positive	3	570207	"Amar não  e pecado!!# LUAN SANTANA SUCESSO
neutral	3	355898	Alguem ai sabe editar video ??????????????????????
neutral	3	354969	#EIAOVIVO O QUE VALE MAIS; COPA AUDI OU COPA DA HORA?
positive	3	503470	MTO FELIZ ♥ era o depo q eu mais queria ver *-*
positive	3	744006	Nossa dormi em um dia de chuva como o de hoje não tem preço ;x
neutral	3	488812	Eu sigo @user e quero ganhar uma Câmera Digital Samsung 14.2 na promoção: ~http
neutral	3	803457	Photo: › Você já se pegou tentando lembrar de cada palavrinha dita naquela situação; apenas para poder... ~http 
positive	3	1830024	aeeee o celular novo chegouuuu... Samsung galaxy sII empolgadasso!
negative	3	579455	Acordei de mau humor. Vou malhar pra melhorar. Até mais tarde; twitter.
negative	3	1416995	nuss que raiva não to conseguindo salvar os meus videos comentados aqui no Sony Vegas Pro 10 :S
negative	3	683272	cara;e cada gala seca; que velho não tem como não ficar puta! pqp transtornada de odio  me tremendo nem conseguindo escrever direito
positive	3	1562153	Eu queroooooooooooooo. *-* RT:. @user  O Boné Nike do Centenário ficou irado! ~http 
negative	3	879429	*Estou de aviso prévio novamente! (Não é notícia de 1º de abril!) =/
negative	3	544236	segunda vez que empurram a barreira do inter na falta...
neutral	3	170500	Capa em silicone gel S-Type curve TPU Premium para Smartphone Samsung Galaxy SII. Apenas R$ 39;90. Frete Grátis... ~http 
positive	3	122179	O melhor cheiro; é o cheiro que fica na sua roupa depois de você ter abraçado alguém que você gosta muito.
positive	3	596442	Quero um nintendo #Wii p jogar Just Dance! Me dá?
negative	3	37745	Sem luz; sem ar nesse calorrrrr ninguem merece
positive	3	268854	#Logomarca com nome novo ; criada e enviada! um trabalho a menos! rs
neutral	3	576102	Show do Seu Jorge logo mais...
neutral	3	1179784	Lançamentos Sony para seu iPhone 3GS - ~http
positive	3	798637	eu APAIXONEI com a camisa do fael de ontem!!! Tinha as cores da bandeira da Jamaica e etc hahahaahahha
positive	3	680373	AH! Minha fessora de pilates disse que eu melhoei sessenta por cento desde a primeira aula...detalhe que essa foi a terceira! =D
positive	3	299855	boooa tarde!
positive	3	428811	uhu; que loooooco. sony vaio e um note da hora .. computador aqui nao falta kkk
neutral	3	800648	“Eu quero conquistar a minha independência digital com o Samsung Star que o @user está sorteando ~http 
negative	3	1270049	Depois do ataque que sofreu; Sony diz que terá seguro contro roubo de informações. Vem aí uma taxa de uso da PSNetwork? #FicaaDica #wtf
negative	3	569136	aaaaaaah O Luan tem qe levar pelo menos um premio... :'(
negative	3	86562	Vcs reclamam da Demi pq ela fez uma tatoo junto com as amgs.  Tem gnt que não rabisca nem o nome do ''bff'' no braço com canetinha vagabunda
neutral	3	1584028	Vende-se - Nintendo Wii edição especial 25 anos; 2 controles; 2 nunchuks; destravado com HD externa e 125 jogos. algum intressado?
positive	3	555096	3 minutos para a apresentação da NINTENDO na E3 2011!!!!!!!!!!
negative	3	453272	PELOOOOOOOOOOO DE DEUS ALGUÉM SABE COMO DESBLOQUEAR #MSN ? ://///////////////// TA TENSO AQUI EM
negative	3	560946	A microsoft se supera... Wins 7 é melhor que o Vista mas PIOR QUE O XP??? #QuemExplica ?
positive	3	2048045	Eu quero ganhar o Nintendo Wii que o @user vai sortear dia 27/10 (20:00 hrs); RT e follow @user ~http 
neutral	3	1306563	Torneio Pokémon para Nintendo DS em Brasília! Gyms Fighting e Steel de Johto - 31/07 no Pátio Brasil. Mais informações: ~http 
neutral	3	1128324	Hoje a noite as 21:00 o Speed irá transmitir a 2 etapa do Audi DTCC que foi realizada no @user. Assistam!!!
negative	3	661603	diazinhoo chato !
negative	3	605650	só de pensar qe amanhã tem escola me dá um desânimo D:
positive	3	508170	É muito bom ir dormir sabendo que amanhã nao precisarei acordar cedo pra ir pra porra daquela escola
positive	3	1128321	Hoje tive o prazer de conhecer o @user aqui no Audi DTCC; grande piloto e excelente pessoa.
neutral	3	2469852	Tênis ou sandálias? — Nike Dunk ~http 
positive	3	2047983	É amanhã; hein?! O grande dia! O sorteio do HD EXTERNO Samsung #500GB. E quem está confiante da RT ~http  \0/
neutral	3	1319569	Sigam e RT @user + @user #sorteio em 07/01 HD 1;5TB Samsung ~http  ~http 
neutral	3	261573	Colocando o cadarço do adidas da @user
positive	3	317073	fiz torrada de chocolate :o e tava muito bom :o
neutral	3	730678	o cara de Teardrops on My Guitar é o Tyler Hilton ou é impressão minha?
positive	3	449870	boa noite pra mim (yn) ' bjbj ;**
neutral	3	781080	2° jogo da Copa Audi Bayern de Munique x Milan #CopaAudiNoEI #Partiu
neutral	3	363395	Eu vou ganhar 1 Tablet SAMSUNG GALAXY dia 30/06/2011; estou seguindo @user e concorrendo; de RT e concorra tb; infos: #multiloja.com
positive	3	578357	Adóóógo escrever monografias; elas são um ótimo sonifero!
positive	3	868588	meu tênis chego porraa aeeee! ADIDAS vespa px mid uhuu
negative	3	2410141	Só eu nao gostei do nintendo 3ds?
neutral	3	2411539	Participação na última prova de 10k no ano: Circuito das Estações Adidas com a companhia do @user. Tempo líquido de 00:53:06.
neutral	3	2310562	"Se eu fosse um cara… Eu acabei de dizer “se eu fosse um cara”?"  - Chandler Bing de F.R.I.E.N.D.S
positive	3	223652	Haha; o engraçado é que por enquanto quem tem mais cupons; dos que cliquei; sou eu!!!
positive	3	404410	Quem nunca jogou Mario no Super Nintendo não sabe o que é se divertir pisando nos outros!
neutral	3	1989816	MEU DEUS O SONY ERICSSON É identico ao PSP *-*
negative	3	322887	QUERO VÊ QUAL VAI SER A PROXIMA MENTIRA QUE VAI ROLA AKI ; PRA TENTAREM GANHAR MAIS FOLLOWERS =/
neutral	3	2637718	eu ;@thaaiis_sz;@tookoo_  e a @user estamos jogando nintendo ds da camila...
negative	3	449063	ultima semana de ferias; FUDEU
negative	3	2466454	Eufenismo Paris Hilton .. para que te quero ?
positive	3	2169460	eu ganhei um celular novo w20 sony ericson
neutral	3	2571883	Jaqueta Nike Corinthians N98 Centenário Promoção de R$ 229;90por R$ 159;90Economia de R$ 70;00 (30;44%)  ~http  vía @user
positive	3	874519	DICA DO DIA: #RENDAS!! Blusa verde com detalhe em renda preta!!! #maravilhosa!!!! ~http 
neutral	3	1597944	nao esqueca da #promo do @user Quero ganhar um HD Samsung 320 Gb do @user SIGA E RT ~http  #sorteio
neutral	3	787050	vai rola tetinha ?  (@Julieta2point0 live on ~http )
neutral	3	2210538	Quer um Nintendo 3DS na faixa? A @user e a @user resolvem pra você! RT agora e concorra. #89FMGames ~http 
negative	3	178072	q vontade de sumir...to completamente sem rumo...sem direção...sem saber o q fazer... =[
negative	3	1493277	Vou comprar um Nike colorido em maio o meu Freeday ta ficando zuado :S
negative	3	18560	Meeeeeeeeeeu Deus ; como ta friiiiiiiiiio :s
neutral	3	202517	assistindo Brasil x Portugal no #EsporteInterativo e ajudar no twitter #RumoAoPentaNoEI :D
negative	3	625307	está a cada dia mais dificil segurar isso em minhas mãos' #pesado
neutral	3	646600	Meus batimentos cardíacos: - › Falando sobre a Lua e o Arthur: › › Vendo a Lua e o Arthur: › › Conhecendo a... ~http 
negative	3	262661	tem gente que nao muda ! mai tu é mto fidiputa msm viu ..
negative	3	1248335	Será uma estratégia da microsoft para promover seu buscador novo... subordinou um cara da google q fez dar pau em td! #conspirações
